# log10(nb / nbsat)     T / MeV
-7.507732570954123      0.9301393724494993
-7.070430914020488      1.1930435750220987
-6.5839219873788        1.4558033335544636
-6.141206353825841      1.865462681009788
-5.75307986792465       2.040448611090312
-5.408671778202432      2.156854458185059
-5.129894780541355      2.33216137502167
-4.862052731704289      2.5075003905338917
-4.627036928456332      2.7416441797611455
-4.364747950499562      3.151833155364013
-4.080567675777697      3.503249455927449
-3.7034296364931976     3.825038678904118
-3.3262380994160186     4.000056707660246
-3.173245111906681      4.26379547579867
-2.9001602793868706     5.055557457699301
-2.6158516099625704     5.054722892133476
-2.3754325296538266     5.4649760650875585
-2.200708738757438      6.110255740848135
-1.9059145019676471     7.342267108059126
-1.6432724385791833     6.783766201806518
-1.375034506076279      5.8729983800868375
-1.0795019997474906     5.079567267054564
-0.8662918967963371     5.137649820568409
-0.7187021863477909     5.225279204980005
-0.5985889422202426     5.6945939410539985
-0.4892394539801277     5.694272954297912
-0.37988996574001277    5.693951967541825
-0.26489111059277626    5.194592871098145
-0.15516713780389502    4.166873524798373
-0.045261272519894646   2.6401321181488093
0.058877530713083104    1.9353254484719997
0.1792582638040372      1.6707842134433584
0.29382913660982446     2.345594670763891
