# log10(nb / nbsat)     T / MeV
-7.397314375987362      0.9741550695825083
-6.796998420221169      1.6368455931080206
-6.3191153238546605     2.100728959575875
-5.876777251184834      2.3989396951623547
-5.466034755134281      2.7965540092776706
-5.165876777251185      3.1278992710404196
-4.913112164296998      3.6249171636845574
-4.561611374407584      4.0556660039761425
-4.273301737756714      4.453280318091458
-4.000789889415482      4.751491053677938
-3.803317535545024      5.2153744201457926
-3.6295418641390205     5.9443339960238575
-3.4636650868878363     6.341948310139159
-3.3649289099526065     5.878064943671305
-3.230647709320696      6.408217362491712
-3.0608214849921014     6.739562624254475
-2.8593996840442344     7.236580516898613
-2.4684044233807274     7.6341948310139145
-2.1169036334913116     8.330019880715696
-1.9391785150078995     8.62823061630219
-1.8009478672985786     9.058979456593761
-1.6548183254344409     9.688535453943004
-1.5600315955766195     9.920477137176931
-1.4415481832543442     11.610337972166988
-1.3625592417061618     12.007952286282304
-1.2045813586097953     12.43870112657389
-0.9597156398104278     13.00198807157058
-0.75829383886256       12.803180914512922
-0.6161137440758306     12.7037773359841
-0.4581358609794641     13.101391650099401
-0.3593996840442344     13.896620278330019
-0.26066350710900643    14.261100066269051
-0.1579778830963665     14.625579854208084
-0.05924170616113855    14.625579854208084
0.04344391785149959     16.149768058316766
0.14612954186413774     14.592445328031808
0.2409162717219573      7.932405566600394
0.3515007898894158      7.104042412193493
0.45023696682464376     7.866136514247842
0.5116087703765402      7.709086142485745
